gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
ELK3	0	0	0	0	0	0	0	0	0	0.76214267995251	0.945948793452764	0.953036453353791	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998879531868473	0.999999691626581
LDHB	0	0	0	0	0	0	0	0	0	0.764813687487413	0.934811349157044	0.953043171398821	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998879854997036	0.999999691626581
C16orf78	0	0	0	0	0	0	0	0	0	0.76875366781976	0.921365307766017	0.95304623419869	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998880002297706	0.999999691626581
PGS1	0	0	0	0	0	0	0	0	0	0.764511896749609	0.936171126268977	0.953062203376511	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998880770151416	0.999999691626581
SEC63	0	0	0	0	0	0	0	0	0	0.771799402195988	0.912635246995877	0.953062214759967	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998880770698677	0.999999691626581
PPM1D	0	0	0	0	0	0	0	0	0	0.767456851703087	0.925667609016325	0.953064859939011	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998880897862238	0.999999691626581
EWSR1	0	0	0	0	0	0	0	0	0	0.768293257480165	0.923043069713112	0.953073862959331	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.99888133061578	0.999999691626581
YARS2	0	0	0	0	0	0	0	0	0	0.766482676160029	0.929215007670007	0.953092021837444	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998882203210636	0.999999691626581
GAN	0	0	0	0	0	0	0	0	0	0.76809427230836	0.92387167460347	0.953096234092111	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998882405574132	0.999999691626581
RHOT2	0	0	0	0	0	0	0	0	0	0.764781059990654	0.935515747011014	0.953099652282929	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998882569775839	0.999999691626581
ZBTB37	0	0	0	0	0	0	0	0	0	0.765306335542327	0.933613756317481	0.953108574648344	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998882998327161	0.999999691626581
SERPINA6	0	0	0	0	0	0	0	0	0	0.76193712150927	0.947928940090465	0.953116377667875	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998883373046566	0.999999691626581
GLT6D1	0	0	0	0	0	0	0	0	0	0.765623525129973	0.93271927645015	0.953136826114158	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998884354726139	0.999999691626581
DNM1L	0	0	0	0	0	0	0	0	0	0.771448751769234	0.914207195698822	0.953140775499656	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998884544275869	0.999999691626581
ABHD17C	0	0	0	0	0	0	0	0	0	0.760166350224233	0.957854096701086	0.953144334129697	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998884715057375	0.999999691626581
ADAM10	0	0	0	0	0	0	0	0	0	0.769512252247873	0.920027806051151	0.953164055504216	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998885661261099	0.999999691626581
ACTL6B	0	0	0	0	0	0	0	0	0	0.768172041284282	0.924296248416363	0.953173389534984	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.99888610895246	0.999999691626581
DCP1B	0	0	0	0	0	0	0	0	0	0.76632959370353	0.930534405351674	0.953174485080909	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998886161492516	0.999999691626581
OR14L1P	0	0	0	0	0	0	0	0	0	0.760374228052295	0.95714055086809	0.953178224414747	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998886340813542	0.999999691626581
CEP70	0	0	0	0	0	0	0	0	0	0.774960414448698	0.905278069761861	0.953183952322867	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998886615468879	0.999999691626581
RUFY1	0	0	0	0	0	0	0	0	0	0.77032396779856	0.917789678731342	0.953186446292303	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998886735044891	0.999999691626581
ST6GALNAC3	0	0	0	0	0	0	0	0	0	0.769182227532489	0.921227141565687	0.953186845068549	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998886754164036	0.999999691626581
OR4Q3	0	0	0	0	0	0	0	0	0	0.762565886502615	0.945835506426635	0.953187270371542	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.99888677455481	0.999999691626581
FUT1	0	0	0	0	0	0	0	0	0	0.759820284077812	0.960772255495255	0.953190083103476	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998886909403966	0.999999691626581
PAIP1	0	0	0	0	0	0	0	0	0	0.769953101851007	0.919020248106617	0.953202736395886	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998887515930684	0.999999691626581
RCC2	0	0	0	0	0	0	0	0	0	0.765703537869341	0.933154435290749	0.953210510371951	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998887888487489	0.999999691626581
DDX20	0	0	0	0	0	0	0	0	0	0.76434763345397	0.938511816597633	0.953221191057726	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998888400240852	0.999999691626581
GDF10	0	0	0	0	0	0	0	0	0	0.760342763450682	0.958121915294548	0.953228586615615	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998888754520787	0.999999691626581
IL1RL2	0	0	0	0	0	0	0	0	0	0.769887243381497	0.919471754641201	0.953233687249912	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998888998830299	0.999999691626581
PGLYRP4	0	0	0	0	0	0	0	0	0	0.766216819738236	0.931547291707547	0.953237733921872	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998889192637844	0.999999691626581
RGL2	0	0	0	0	0	0	0	0	0	0.766809724827572	0.929479259440054	0.95324128726524	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998889362804204	0.999999691626581
ITPKC	0	0	0	0	0	0	0	0	0	0.764581475887893	0.937914531715852	0.953253260437238	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998889936090935	0.999999691626581
PRSS54	0	0	0	0	0	0	0	0	0	0.765655214361784	0.933791306315309	0.953256259316846	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998890079656559	0.999999691626581
COX18	0	0	0	0	0	0	0	0	0	0.764427949460183	0.938651510809654	0.953264170075949	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.99889045832375	0.999999691626581
TAPT1	0	0	0	0	0	0	0	0	0	0.766905828310028	0.929453375985438	0.953274110922895	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998890934072815	0.999999691626581
PSD3	0	0	0	0	0	0	0	0	0	0.770615955240899	0.917644101761717	0.953274584396567	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998890956729733	0.999999691626581
SHPK	0	0	0	0	0	0	0	0	0	0.765317695671632	0.93532677103939	0.953281643983148	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.99889129452098	0.999999691626581
DNAJC16	0	0	0	0	0	0	0	0	0	0.770134194265998	0.919131421945504	0.95328230510818	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998891326152202	0.999999691626581
CLVS1	0	0	0	0	0	0	0	0	0	0.765022659004629	0.93669820307489	0.953303520583892	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998892340953407	0.999999691626581
MAS1	0	0	0	0	0	0	0	0	0	0.762663166518933	0.946828128462461	0.953304022338703	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998892364948162	0.999999691626581
CCNA2	0	0	0	0	0	0	0	0	0	0.767740577803858	0.926912797179034	0.953307705318683	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998892541066343	0.999999691626581
ANKUB1	0	0	0	0	0	0	0	0	0	0.768030320765913	0.925999373098072	0.953313259957346	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998892806659354	0.999999691626581
TKT	0	0	0	0	0	0	0	0	0	0.763439949992416	0.943413790114871	0.953315355075781	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998892906828268	0.999999691626581
RFX5	0	0	0	0	0	0	0	0	0	0.768205194784157	0.925519061732371	0.953323892494859	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998893314959968	0.999999691626581
GPAT4	0	0	0	0	0	0	0	0	0	0.768977199186956	0.923114040697404	0.953333067808886	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998893753501026	0.999999691626581
TMEM200B	0	0	0	0	0	0	0	0	0	0.761497270873314	0.953104605287639	0.95333400579572	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998893798327839	0.999999691626581
OS9	0	0	0	0	0	0	0	0	0	0.76595878778568	0.933475164926526	0.95333763251693	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998893971641796	0.999999691626581
CNBD1	0	0	0	0	0	0	0	0	0	0.769982760484209	0.920095830709208	0.953343992361664	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998894275533104	0.999999691626581
GOLGA8G	0	0	0	0	0	0	0	0	0	0.769603048606277	0.921308849829318	0.953350411125029	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998894582196691	0.999999691626581
FAM222B	0	0	0	0	0	0	0	0	0	0.763499070274641	0.943604533876662	0.953353786816479	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998894743456779	0.999999691626581
PNMA6F	0	0	0	0	0	0	0	0	0	0.762758362325124	0.947161869765035	0.953366534127014	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998895352300503	0.999999691626581
GRK6	0	0	0	0	0	0	0	0	0	0.765130440188787	0.937007398778988	0.953373121004085	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998895666839586	0.999999691626581
