sample	min_cov	min_prop	bin	pass	bases	mean	11+	21+	31+	41+	51+	61+	71+	81+	91+	101+	111+	121+	131+	141+	151+
PD62064b	20	80	21+	true	50337604	71.1451	96.9300	89.2400	78.7100	67.6700	57.2400	47.8800	39.6400	32.5800	26.6300	21.7000	17.6400	14.3200	11.6300	9.4500	7.6900
PD62064c	20	80	31+	true	50337604	84.3443	98.0800	93.1500	85.4400	76.4200	67.2300	58.4400	50.3200	42.9800	36.4200	30.6300	25.6300	21.3300	17.6900	14.6300	12.0800
PD62064d	20	80	21+	true	50337604	55.7809	95.4900	84.5800	71.3000	58.1600	46.2000	35.9300	27.4800	20.7800	15.5700	11.6500	8.7000	6.5200	4.9100	3.7000	2.8100
PD62064e	20	80	<11	false	50337604	0.5722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD62065a	20	80	11+	false	50337604	39.1645	90.3500	71.2700	52.6100	37.6100	26.3500	18.2300	12.5000	8.5200	5.8100	3.9900	2.7600	1.9200	1.3400	0.9500	0.6800
PD62065b	20	80	31+	true	50337604	76.7999	97.5900	91.7800	83.2200	73.6700	64.0800	54.8600	46.2500	38.4200	31.5300	25.6200	20.6700	16.5900	13.2700	10.6200	8.4900
PD62065c	20	80	41+	true	50337604	106.4435	98.4500	94.4900	88.4700	81.6100	74.5100	67.4400	60.5500	53.9500	47.7400	42.0300	36.8100	32.1600	28.0500	24.4600	21.3300
PD62065d	20	80	41+	true	50337604	97.1003	98.4500	94.7700	88.7100	81.2000	73.1500	65.2600	57.7200	50.6600	44.1200	38.1800	32.8800	28.1800	24.0700	20.4800	17.4000
PD62065e	20	80	21+	true	50337604	73.0452	96.1400	87.1300	76.5000	65.9400	55.9500	46.9000	39.0200	32.3800	26.8800	22.3900	18.7100	15.7000	13.2400	11.2200	9.5400
PD62065f	20	80	11+	false	50337604	35.0752	86.8500	65.0200	45.8400	31.2300	20.9100	13.9700	9.4000	6.4300	4.4800	3.1600	2.2600	1.6300	1.1900	0.8800	0.6500
